punto_0_x,punto_0_y,punto_0_z,punto_1_x,punto_1_y,punto_1_z,punto_2_x,punto_2_y,punto_2_z,punto_3_x,punto_3_y,punto_3_z,punto_4_x,punto_4_y,punto_4_z,punto_5_x,punto_5_y,punto_5_z,punto_6_x,punto_6_y,punto_6_z,punto_7_x,punto_7_y,punto_7_z,punto_8_x,punto_8_y,punto_8_z,punto_9_x,punto_9_y,punto_9_z,punto_10_x,punto_10_y,punto_10_z,punto_11_x,punto_11_y,punto_11_z,punto_12_x,punto_12_y,punto_12_z,punto_13_x,punto_13_y,punto_13_z,punto_14_x,punto_14_y,punto_14_z,punto_15_x,punto_15_y,punto_15_z,punto_16_x,punto_16_y,punto_16_z,punto_17_x,punto_17_y,punto_17_z,punto_18_x,punto_18_y,punto_18_z,punto_19_x,punto_19_y,punto_19_z,punto_20_x,punto_20_y,punto_20_z,etiqueta
0.0,0.0,0.0,0.2101169,0.111683704,-0.006650241,0.45047688,0.043221164,-0.061045755,0.6037494,-0.13876988,-0.11654674,0.6533336,-0.3067306,-0.18770002,0.4660229,0.089356914,-0.1549343,0.678383,-0.14323908,-0.22251618,0.7764151,-0.28771457,-0.27414095,0.85253567,-0.3976861,-0.31479433,0.35230258,3.74098e-08,-0.19682947,0.5830318,-0.25923836,-0.24701224,0.70410043,-0.39986864,-0.27717218,0.7995736,-0.5090777,-0.31862512,0.2323939,-0.10849959,-0.22721726,0.4331032,-0.33098018,-0.26376113,0.3759851,-0.28284112,-0.24212709,0.31323802,-0.21450047,-0.24045327,0.12767784,-0.21561149,-0.25532565,0.31187043,-0.3812233,-0.28997758,0.26851806,-0.34544763,-0.25285056,0.20499557,-0.28111044,-0.23107502,N
0.0,0.0,0.0,-0.11099413,-0.19242752,-0.12143327,-0.24942845,-0.23139367,-0.26409253,-0.38887537,-0.09829111,-0.37032843,-0.45608237,0.043939486,-0.4866327,0.08507871,-0.19998002,-0.50052285,-0.26571715,-0.09232075,-0.6282143,-0.4789293,-0.043507893,-0.6880427,-0.6441102,-0.010767371,-0.7264648,0.17666751,-3.933348e-09,-0.4945308,-0.23756999,0.10395628,-0.6338475,-0.5122597,0.142399,-0.66550034,-0.6958512,0.17418322,-0.69674337,0.17492966,0.171503,-0.46475393,-0.21907353,0.21911494,-0.5596639,-0.325062,0.15257348,-0.5146505,-0.33830032,0.100327596,-0.480679,0.10190193,0.30549195,-0.43808687,-0.1912417,0.31797427,-0.48743328,-0.27699175,0.25275326,-0.43985122,-0.2882375,0.19509698,-0.40878054,N
0.0,0.0,0.0,-0.121370174,-0.11213006,-0.2344293,-0.14686841,-0.24560134,-0.40574798,-0.08288298,-0.34442908,-0.5134058,0.0059940284,-0.42435607,-0.61478734,-0.013061372,-0.021947715,-0.5884959,0.09998211,-0.29858202,-0.74558526,0.115571916,-0.4725773,-0.78330773,0.11219994,-0.5980717,-0.7935499,0.1399122,1.3454671e-08,-0.5038516,0.23870642,-0.30867374,-0.65290016,0.2187649,-0.5016189,-0.6557178,0.16956636,-0.61792904,-0.65871716,0.2523649,-0.024424635,-0.41141146,0.33029267,-0.3117346,-0.5441837,0.2716145,-0.47552565,-0.53899217,0.20965697,-0.56045014,-0.53128946,0.33437294,-0.06827025,-0.3264886,0.37047803,-0.2862389,-0.43459484,0.31653664,-0.39939487,-0.44864663,0.26296982,-0.45384967,-0.4518436,N
0.0,0.0,0.0,0.08686074,0.23507616,-0.20057978,0.17192566,0.40666708,-0.35269547,0.17106135,0.46765104,-0.47790885,0.15555261,0.50352484,-0.5882098,0.5458543,0.25151795,-0.3559211,0.20362915,0.51881975,-0.5691067,-0.033091076,0.58461386,-0.69897133,-0.12460136,0.6194603,-0.77507645,0.4713923,-4.8197528e-08,-0.33535352,-0.029389726,0.33048427,-0.50111747,-0.19775513,0.39364538,-0.54257834,-0.21467946,0.4040296,-0.5723443,0.31267512,-0.20812702,-0.32736593,-0.18991923,0.08734595,-0.4631343,-0.2617732,0.11753087,-0.43385163,-0.20173281,0.06904975,-0.41188377,0.11050397,-0.39714846,-0.34080398,-0.25512156,-0.17798619,-0.44097957,-0.3225203,-0.11450585,-0.42043653,-0.27743462,-0.13382684,-0.39231342,N
0.0,0.0,0.0,0.2090216,-0.0194999,-0.03194823,0.38501275,-0.16572657,-0.0727357,0.4226606,-0.38654536,-0.11196464,0.40517306,-0.5790441,-0.1689701,0.4896056,-0.030625096,-0.12964395,0.55322504,-0.39314938,-0.18765546,0.5797346,-0.6077815,-0.24021253,0.6098478,-0.74448496,-0.27171302,0.3333614,-1.8917305e-09,-0.15196978,0.39601916,-0.44079733,-0.17506506,0.4417989,-0.67693275,-0.20461652,0.48677972,-0.827161,-0.23638038,0.16138522,-0.005089273,-0.16643499,0.157568,-0.3737398,-0.19287881,0.11466206,-0.40942153,-0.19500512,0.100409426,-0.38537872,-0.19880144,-0.0014630242,-0.045040026,-0.18065868,-0.007693313,-0.31707054,-0.19666088,-0.03647002,-0.32913446,-0.1487001,-0.05496731,-0.29621163,-0.1081745,N
0.0,0.0,0.0,0.17687996,0.06325939,-0.11192594,0.29525927,0.22312035,-0.2363103,0.32389635,0.38893253,-0.34124923,0.32989216,0.5238218,-0.4583513,0.35385528,0.0031776442,-0.38523597,0.40635294,0.32679132,-0.5306426,0.3967308,0.51426345,-0.6151005,0.37496635,0.6454873,-0.66539186,0.22981033,-1.1292208e-08,-0.38236517,0.2786748,0.3503103,-0.49584824,0.28376067,0.54836,-0.5281958,0.2774684,0.68594384,-0.56955594,0.076808326,0.023884207,-0.37158084,0.15058438,0.31972593,-0.46067387,0.16547841,0.4406083,-0.47533062,0.15573914,0.5213221,-0.5017597,-0.07406223,0.06355363,-0.36624205,0.0017887554,0.2736292,-0.42474845,0.035705347,0.34350818,-0.4244679,0.03573625,0.38667133,-0.43758774,N
0.0,0.0,0.0,0.07206829,0.22818178,-0.20227128,0.14421615,0.41263223,-0.36040398,0.14787242,0.49418896,-0.49061808,0.14907567,0.5522434,-0.6075453,0.54232574,0.23640785,-0.37783948,0.1770229,0.49253616,-0.5860538,-0.07504051,0.5475189,-0.7135223,-0.18867953,0.5869556,-0.7873266,0.4652122,4.955363e-08,-0.35629502,-0.036203682,0.30709884,-0.5204048,-0.21164401,0.3717909,-0.55808717,-0.2579847,0.400093,-0.5826098,0.30303764,-0.19612607,-0.34462687,-0.2110995,0.075395316,-0.46765843,-0.27447653,0.1005802,-0.4308166,-0.22095728,0.061257996,-0.40388057,0.10191514,-0.37476164,-0.3552342,-0.2677936,-0.18018363,-0.43945476,-0.31170988,-0.13373023,-0.41066182,-0.2566726,-0.1622027,-0.3781341,N
0.0,0.0,0.0,-0.051879413,-0.25835675,-0.10644943,-0.18341292,-0.3802427,-0.25665537,-0.31440946,-0.31718224,-0.3618477,-0.40248612,-0.13446502,-0.4700386,0.1799811,-0.24441144,-0.6292833,-0.25515127,-0.1512807,-0.7896575,-0.46898612,-0.13005807,-0.81620735,-0.5795165,-0.124028675,-0.80546725,0.2382694,7.7247675e-10,-0.6209037,-0.29176942,0.0553977,-0.77954787,-0.5239813,0.0020994344,-0.723545,-0.60155404,-0.036624417,-0.67282885,0.2172036,0.2012635,-0.5843456,-0.30693403,0.19698277,-0.6857561,-0.39234176,0.08753615,-0.5542774,-0.3365147,0.022378355,-0.4465124,0.1613363,0.35099718,-0.55114436,-0.22400685,0.32006505,-0.5886194,-0.31571674,0.19729498,-0.49284267,-0.2845961,0.11227571,-0.4187568,N
0.0,0.0,0.0,0.19687064,-0.049417652,-0.025915636,0.39215663,0.035405155,-0.087894,0.48864004,0.19905105,-0.13469297,0.54145765,0.33771473,-0.17544642,0.41197634,-0.081001475,-0.2764691,0.66702724,0.067068726,-0.3947273,0.76643664,0.22109786,-0.44452238,0.81434643,0.34961018,-0.46326306,0.2952625,-6.6095964e-09,-0.3005907,0.55712837,0.22031319,-0.4121183,0.68092173,0.37769765,-0.43018565,0.75300807,0.4755402,-0.43380818,0.18148227,0.10902612,-0.31205502,0.44307378,0.34585372,-0.3946807,0.53408194,0.4006597,-0.36724824,0.56724167,0.37800828,-0.3302167,0.087351836,0.22223587,-0.32150453,0.30612323,0.38908845,-0.37215877,0.41526866,0.43167993,-0.3507538,0.47374046,0.42546788,-0.32009548,N
0.0,0.0,0.0,0.20467204,-0.079251766,-0.13122033,0.41264543,-0.041386444,-0.28172094,0.52733415,0.075927444,-0.4050505,0.5739737,0.20455126,-0.5305333,0.29397172,-0.11474958,-0.43636388,0.5208536,0.15440676,-0.55540794,0.62761956,0.28744656,-0.6092484,0.680682,0.3546528,-0.6410098,0.16566548,1.209592e-08,-0.42138475,0.4734979,0.3084473,-0.5203252,0.5639705,0.38816383,-0.5166804,0.59853387,0.40676856,-0.5205897,0.0650937,0.13317135,-0.3908726,0.3508368,0.38792422,-0.42869604,0.33829543,0.330221,-0.3676801,0.27802286,0.25187138,-0.34332043,-0.009829949,0.26492247,-0.37350538,0.22521399,0.42176905,-0.3913338,0.23467399,0.37097955,-0.33851323,0.17889571,0.3014461,-0.30515835,N
